id,type,emne,navn,beskrivelse,avhenger_av,hjelpemiddel,instruks
hypotese,begrep,Fagmetode og feltarbeid,Hypotese,"Eleven vet hva en hypotese er: en presis, testbar påstand om sammenhengen mellom to eller flere variabler, som data enten kan styrke eller svekke.",,del1,
uavhengig-avhengig-variabel,begrep,Fagmetode og feltarbeid,Uavhengig og avhengig variabel,"Eleven vet forskjellen på den uavhengige variabelen (den forskeren bevisst endrer, f.eks. temperatur eller substratmengde) og den avhengige variabelen (det som måles som resultat, f.eks. reaksjonshastighet).",,del1,
kontrollert-forsok,begrep,Fagmetode og feltarbeid,Kontrollert forsøk,"Eleven vet hva et kontrollert forsøk er: alle faktorer utenom den uavhengige variabelen holdes like/konstante mellom gruppene, gjerne med en egen kontrollgruppe uten den undersøkte faktoren, slik at effekten av akkurat denne faktoren kan isoleres.",,del1,
vurdere-forsoksdesign,ferdighet,Fagmetode og feltarbeid,Vurdere om et forsøksdesign er egnet til å teste en hypotese,"Eleven kan vurdere om et forsøksdesign er egnet til å teste en gitt hypotese, blant annet ved å foreslå et riktig kontrollforsøk og forklare hvorfor andre faktorer må holdes konstante for å sikre sammenlignbare data.",kontrollert-forsok;uavhengig-avhengig-variabel,del1,"Gi eleven en forsøksbeskrivelse (f.eks. et antibiotikaforsøk på bakteriekulturer i petriskåler) og be dem foreslå hvilket kontrollforsøk som bør gjennomføres, og begrunne hvorfor. Spør også hvorfor det er viktig at andre faktorer (utstyr, tid, mengde) holdes like mellom gruppene som sammenlignes."
formulere-hypotese,ferdighet,Fagmetode og feltarbeid,Formulere en testbar hypotese ut fra data,"Eleven kan formulere en presis, testbar hypotese ut fra et gitt datasett eller forsøksoppsett.",hypotese,del1,"Gi eleven et enkelt datasett fra et forsøk (f.eks. mengde substrat/enzym og mengde produkt i ulike glass) og be dem formulere en hypotese som kan testes med akkurat disse dataene."
tolke-data-vurdere-hypotese,ferdighet,Fagmetode og feltarbeid,Vurdere om data styrker eller svekker en hypotese,"Eleven kan vurdere om et gitt datasett styrker, svekker eller ikke sier noe om en hypotese, og begrunne vurderingen med henvisning til dataene.",formulere-hypotese,begge,"Gi eleven en hypotese og et datasett eller en figur (f.eks. kopiantall av et gen i to populasjoner med ulikt kosthold) og be dem vurdere om dataene styrker eller svekker hypotesen, med begrunnelse."
representativt-utvalg,begrep,Fagmetode og feltarbeid,Representativ prøvetaking,"Eleven vet hva som skal til for at et utvalg (f.eks. forsøksruter i et feltarbeid) gir et pålitelig resultat: tilfeldig eller systematisk spredt plassering som ikke er styrt av forskerens forventninger.",,del1,
planlegge-feltarbeid-datainnsamling,ferdighet,Fagmetode og feltarbeid,Planlegge datainnsamling i feltarbeid,"Eleven kan foreslå og begrunne hvordan man bør samle inn data i et feltarbeid (f.eks. plassering av forsøksruter) for å få et pålitelig resultat.",representativt-utvalg;vurdere-forsoksdesign,del1,"Beskriv en feltarbeidssituasjon (f.eks. å telle individer av to plantearter i ruter i en skog) og be eleven foreslå hvordan rutene bør plasseres for å gi et pålitelig resultat, og begrunne svaret."
artsmangfold,begrep,Fagmetode og feltarbeid,Artsmangfold,"Eleven vet hva artsmangfold er: variasjonen av arter i et område eller økosystem.",,del1,
abiotisk-og-biotisk-faktor,begrep,Fagmetode og feltarbeid,Abiotisk og biotisk faktor,"Eleven vet forskjellen på abiotiske faktorer (ikke-levende, f.eks. temperatur, lys, pH, nedbør) og biotiske faktorer (levende, f.eks. konkurranse, predasjon, sykdom) i et økosystem.",,del1,
gjennomfore-feltarbeid-artsmangfold,ferdighet,Fagmetode og feltarbeid,Beskrive metode og resultater fra feltarbeid om artsmangfold,"Eleven kan beskrive en metode som er brukt for å utforske artsmangfoldet i et økosystem, og gjøre rede for resultatene.",artsmangfold;planlegge-feltarbeid-datainnsamling,del1,"Be eleven ta utgangspunkt i sitt eget feltarbeid (eller et tenkt eksempel) og beskrive metoden som ble brukt for å kartlegge artsmangfoldet, og gjøre rede for hva resultatene viste."
tilpasning-til-miljofaktor,ferdighet,Fagmetode og feltarbeid,Forklare hvordan en art er tilpasset en miljøfaktor,"Eleven kan velge en art og beskrive hvordan den er tilpasset en bestemt abiotisk eller biotisk faktor i økosystemet den lever i.",abiotisk-og-biotisk-faktor,begge,"Be eleven velge en art (fra eget feltarbeid eller et kjent eksempel) og beskrive én konkret tilpasning arten har til en bestemt abiotisk eller biotisk faktor, og forklare hvorfor tilpasningen er nyttig for arten."
skissere-naeringsnett-fra-feltarbeid,ferdighet,Fagmetode og feltarbeid,Skissere en næringskjede eller et næringsnett fra feltarbeid,"Eleven kan skissere en næringskjede eller et næringsnett med konkrete artsnavn knyttet til et selvvalgt økosystem.",naeringsnett;artsmangfold,del1,"Be eleven skissere en næringskjede eller et næringsnett med minst fire til seks artsnavn fra et selvvalgt eller kjent økosystem, og forklare hvordan energien går gjennom kjeden/nettet."
drofte-resultater-fra-feltarbeid,ferdighet,Fagmetode og feltarbeid,Drøfte resultater og funn fra en biologisk problemstilling,"Eleven kan drøfte resultater og funn fra egen eller andres undersøkelse av en biologisk problemstilling, inkludert svakheter ved metoden og hvor sikre konklusjonene er.",gjennomfore-feltarbeid-artsmangfold;tolke-data-vurdere-hypotese,begge,"Be eleven ta utgangspunkt i resultatene fra en undersøkelse (eget feltarbeid eller et gitt datasett) og drøfte hva resultatene faktisk viser, hvor sikre konklusjonene er, og hva som eventuelt svekker påliteligheten."
populasjon,begrep,Populasjonsøkologi og forvaltning,Populasjon,"Eleven vet hva en populasjon er: individer av samme art som lever i samme område og kan formere seg med hverandre.",,del1,
populasjonstetthet,begrep,Populasjonsøkologi og forvaltning,Populasjonstetthet,"Eleven vet hva populasjonstetthet er: antall individer av en art per areal- eller volumenhet.",populasjon,del1,
fodselsrate-og-dodsrate,begrep,Populasjonsøkologi og forvaltning,Fødselsrate og dødsrate,"Eleven vet hva fødselsrate og dødsrate er, og at vekstraten til en populasjon er lik fødselsraten minus dødsraten.",populasjon,del1,
vekstrate-populasjon,begrep,Populasjonsøkologi og forvaltning,Vekstrate til en populasjon,"Eleven vet at vekstraten til en populasjon forteller hvor raskt populasjonen endrer størrelse, og at den avhenger av forholdet mellom fødselsrate og dødsrate.",fodselsrate-og-dodsrate,del1,
eksponentiell-vekst,begrep,Populasjonsøkologi og forvaltning,Eksponentiell vekst,"Eleven vet hva eksponentiell vekst er: en populasjon vokser stadig raskere fordi vekstraten er tilnærmet konstant og uavhengig av populasjonsstørrelsen, typisk når ressursene er rikelige.",vekstrate-populasjon,del1,
