id,type,emne,navn,beskrivelse,avhenger_av,hjelpemiddel,instruks
naturvitenskap-begrep,begrep,Naturvitenskapelig metode,Naturvitenskap,"Eleven vet at naturvitenskap er systematisk kunnskap om naturen som bygger på observasjoner, eksperimenter og logisk resonnement - ikke synsing eller autoritet.",,,
hypotese-begrep,begrep,Naturvitenskapelig metode,Hypotese,"Eleven vet at en hypotese er en konkret, testbar antakelse om hvordan noe henger sammen, satt fram før man undersøker den.",naturvitenskap-begrep,,
falsifiserbarhet-begrep,begrep,Naturvitenskapelig metode,Falsifiserbarhet,"Eleven vet at en hypotese må kunne motbevises av en observasjon for å regnes som naturvitenskapelig - hvis ingen tenkelig observasjon kan vise at hypotesen er feil, er den ikke testbar.",hypotese-begrep,,
teori-begrep,begrep,Naturvitenskapelig metode,Naturvitenskapelig teori,"Eleven vet at en naturvitenskapelig teori er en godt underbygget forklaring som har blitt testet og bekreftet gjennom mange uavhengige undersøkelser - ikke det samme som en løs gjetning slik ordet «teori» brukes i dagligtale.",falsifiserbarhet-begrep,,
modell-begrep,begrep,Naturvitenskapelig metode,Naturvitenskapelig modell,"Eleven vet at en naturvitenskapelig modell er en forenklet fremstilling av virkeligheten (f.eks. en tegning, formel eller et dataprogram) som brukes til å forklare eller forutsi et fenomen.",naturvitenskap-begrep,,
variabel-begrep,begrep,Naturvitenskapelig metode,"Uavhengig, avhengig og kontrollvariabel","Eleven vet hva som menes med den uavhengige variabelen (det man endrer), den avhengige variabelen (det man måler) og kontrollvariabler (det man holder likt) i et forsøk.",naturvitenskap-begrep,,
formulere-hypotese-ferdighet,ferdighet,Naturvitenskapelig metode,Formulere en testbar hypotese,"Eleven kan formulere en hypotese for en problemstilling som er konkret og som kan testes og motbevises.",falsifiserbarhet-begrep,,"Gi eleven en enkel naturfaglig problemstilling (f.eks. om plantevekst, lystid eller temperatur) og be dem formulere en testbar, falsifiserbar hypotese for den, og forklare hvordan hypotesen kunne blitt motbevist."
identifisere-variabler-ferdighet,ferdighet,Naturvitenskapelig metode,Identifisere variabler i et forsøk,"Eleven kan identifisere den uavhengige variabelen, den avhengige variabelen og aktuelle kontrollvariabler i et gitt forsøksopplegg.",variabel-begrep,,"Beskriv et enkelt forsøksopplegg for eleven (f.eks. et forsøk på hvordan lysmengde påvirker plantevekst) og be dem peke ut hvilken variabel som endres, hvilken som måles, og hvilke som bør holdes konstant."
risikovurdering-begrep,begrep,Naturvitenskapelig metode,Risikovurdering,"Eleven vet hva en risikovurdering av et forsøk innebærer: å identifisere mulige farer på forhånd og hvordan kjemikalier og avfall skal håndteres forsvarlig.",naturvitenskap-begrep,,
gjennomfore-risikovurdering-ferdighet,ferdighet,Naturvitenskapelig metode,Risikovurdere et forsøk,"Eleven kan gjøre en enkel risikovurdering av et forsøk og foreslå hvordan farer kan reduseres og avfallet håndteres forsvarlig.",risikovurdering-begrep,,"Beskriv et enkelt skoleforsøk for eleven (f.eks. med en syre, en åpen flamme eller glassutstyr) og be dem identifisere de viktigste farene, foreslå tiltak for å redusere risikoen, og forklare hvordan avfallet fra forsøket bør håndteres."
feilkilde-begrep,begrep,Naturvitenskapelig metode,Feilkilde og usikkerhet,"Eleven vet hva en feilkilde er, og kjenner forskjellen mellom tilfeldige feil (varierer fra måling til måling) og systematiske feil (skjevheter som gjentar seg likt hver gang).",variabel-begrep,,
vurdere-feilkilder-ferdighet,ferdighet,Naturvitenskapelig metode,Vurdere feilkilder i et forsøk,"Eleven kan identifisere mulige feilkilder i et gitt forsøk, og vurdere om de er tilfeldige eller systematiske og hvordan de kan ha påvirket resultatet.",feilkilde-begrep,,"Beskriv et forsøk og resultatene fra det for eleven, og be dem foreslå to eller tre mulige feilkilder, avgjøre om hver er tilfeldig eller systematisk, og forklare hvordan hver av dem kan ha påvirket resultatet."
kilde-begrep,begrep,Naturvitenskapelig metode,Pålitelig kilde,"Eleven vet hva som kjennetegner en pålitelig naturfaglig kilde, som hvem som står bak den, om den er fagfellevurdert, og om avsenderen kan ha en interessekonflikt.",naturvitenskap-begrep,,
kildekritikk-ferdighet,ferdighet,Naturvitenskapelig metode,Vurdere en naturfaglig kilde kritisk,"Eleven kan vurdere hvor pålitelig en naturfaglig kilde eller påstand er, og begrunne vurderingen ut fra kjennetegn på pålitelige kilder.",kilde-begrep,,"Gi eleven en påstand eller et nyhetsoppslag om et naturfaglig tema (ekte eller konstruert, gjerne med et svakt kildegrunnlag) og be dem vurdere hvor pålitelig påstanden er, og begrunne svaret ut fra hva de vet om kilden."
tolke-diagram-tabell-ferdighet,ferdighet,Naturvitenskapelig metode,Lese av et diagram eller en tabell,"Eleven kan lese av og tolke enkeltverdier og trender fra et diagram eller en tabell med måledata.",naturvitenskap-begrep,,"Vis eleven et enkelt diagram eller en tabell med måledata (f.eks. temperatur over tid, eller vekst hos to plantegrupper) og be dem lese av konkrete verdier og beskrive trenden i dataene."
beregne-gjennomsnitt-maledata-ferdighet,ferdighet,Naturvitenskapelig metode,Regne ut gjennomsnittet av gjentatte målinger,"Eleven kan regne ut gjennomsnittet av flere målinger av samme størrelse, og forklare hvorfor gjentatte målinger og gjennomsnitt reduserer betydningen av tilfeldige feil.",tolke-diagram-tabell-ferdighet;feilkilde-begrep,,"Gi eleven 4-5 målte verdier av samme størrelse (f.eks. tiden en kule bruker på å rulle ned et skråplan, målt flere ganger) og be dem regne ut gjennomsnittet for hånd, og forklare hvorfor de måler flere ganger i stedet for å stole på én enkelt måling."
presentere-funn-ferdighet,ferdighet,Naturvitenskapelig metode,Presentere og argumentere for valg av metode,"Eleven kan presentere resultatene fra en undersøkelse og argumentere for hvorfor de valgte metodene var egnet til å svare på problemstillingen.",identifisere-variabler-ferdighet;vurdere-feilkilder-ferdighet;beregne-gjennomsnitt-maledata-ferdighet,,"Be eleven ta utgangspunkt i en enkel undersøkelse (selvvalgt eller gitt av deg) og presentere hovedfunnene kort, og deretter argumentere for hvorfor metoden og målingene som ble brukt var egnet til å svare på problemstillingen - ikke bare hva resultatet ble."
modellere-fenomen-program-ferdighet,ferdighet,Naturvitenskapelig metode,Lage et enkelt program som modellerer et fenomen,"Eleven kan lage eller sette sammen et enkelt program (f.eks. i Python eller et blokkbasert verktøy) som modellerer et naturfaglig fenomen, som radioaktiv nedbrytning eller vekst i en populasjon.",modell-begrep;variabel-begrep,,"Foreslå et enkelt naturfaglig fenomen som egner seg for en modell (f.eks. hvordan mengden av et radioaktivt stoff halveres over tid, eller hvordan en populasjon vokser), og hjelp eleven bygge et enkelt program steg for steg som simulerer fenomenet, og be dem forklare hva modellen forenkler bort fra virkeligheten."
utforske-selvvalgt-problemstilling-ferdighet,ferdighet,Naturvitenskapelig metode,Utforske en selvvalgt naturfaglig problemstilling,"Eleven kan planlegge og gjennomføre en undersøkelse av en selvvalgt naturfaglig problemstilling, fra hypotese og forsøksopplegg til presentasjon av funn.",formulere-hypotese-ferdighet;gjennomfore-risikovurdering-ferdighet;presentere-funn-ferdighet,,"Hjelp eleven velge en enkel, undersøkbar naturfaglig problemstilling de selv er nysgjerrige på, og veiled dem gjennom hele prosessen: hypotese, forsøksopplegg med variabler, risikovurdering, gjennomføring (eller tenkt gjennomføring), og en kort presentasjon av funnene."
