id,type,emne,navn,beskrivelse,avhenger_av,hjelpemiddel,instruks
potensregler-rasjonale-eksponenter,ferdighet,Potenser og logaritmer,Bruke potensregler med rasjonale og negative eksponenter,"Eleven kan bruke og omforme uttrykk med rasjonale og negative eksponenter, og skrive n-te røtter som potenser.",,del1,"Gi eleven potensuttrykk med rasjonale eller negative eksponenter, samt uttrykk med n-te røtter, og be dem forenkle eller regne dem ut for hånd."
logaritme-begrep,begrep,Potenser og logaritmer,"Logaritme, ln og lg","Eleven vet hva en logaritme er (log_a(x) er svaret på «a opphøyd i hva gir x»), og kjenner notasjonen ln (naturlig logaritme, grunntall e) og lg (briggsk logaritme, grunntall 10).",potensregler-rasjonale-eksponenter,del1,
logaritmeregler,ferdighet,Potenser og logaritmer,Bruke regneregler for logaritmer,"Eleven kan bruke produkt-, kvotient- og potensregelen for logaritmer til å forenkle eller skrive om logaritmeuttrykk.",logaritme-begrep,del1,"Gi eleven et sammensatt logaritmeuttrykk (f.eks. med lg av produkt, kvotient og potens) og be dem forenkle det til ett enkelt logaritmeuttrykk eller tall."
evaluere-og-sammenligne-logaritmeuttrykk,ferdighet,Potenser og logaritmer,Evaluere og sammenligne uttrykk med potenser og logaritmer,"Eleven kan anslå eller regne ut den eksakte eller tilnærmede verdien av uttrykk som kombinerer potenser, røtter og logaritmer, og sortere flere slike uttrykk i stigende eller synkende rekkefølge.",logaritmeregler;potensregler-rasjonale-eksponenter,del1,"Gi eleven fire eller fem uttrykk som blander potenser, røtter og logaritmer (f.eks. log_2(8), e^(3ln1), lg7, fjerderoten av 3^3) og be dem sortere uttrykkene i stigende rekkefølge, med begrunnelse for hvert uttrykk."
lose-logaritmelikning-andregradstype,ferdighet,Potenser og logaritmer,Løse en logaritmelikning som kan reduseres til en andregradslikning,"Eleven kan løse en likning der en logaritme (f.eks. lg x) inngår som annengradsledd, ved å innføre en hjelpevariabel og løse den resulterende andregradslikningen.",logaritmeregler,del1,"Gi eleven en likning på formen (lg x)^2 + b·lg x + c = 0 (eller tilsvarende med ln), og be dem løse den ved substitusjon og andregradsformelen, og huske å sjekke at løsningene gir gyldige x-verdier."
bestemme-grunntall-i-logaritme,ferdighet,Potenser og logaritmer,Bestemme grunntallet i en logaritme,"Eleven kan bestemme et ukjent grunntall a i en likning på formen log_a(b) = c, ved å skrive om til potensform.",logaritme-begrep,del1,"Gi eleven en likning på formen log_a(b) = c der a er ukjent, og be dem bestemme a ved å skrive om til potensform."
lose-eksponentiallikning,ferdighet,Potenser og logaritmer,Løse en eksponentiallikning,"Eleven kan løse likninger der den ukjente står i eksponenten, inkludert likninger som kan faktoriseres eller substitueres til en andregradslikning i en eksponentialfaktor (f.eks. e^x(6-e^x)=0).",logaritme-begrep,del1,"Gi eleven en eksponentiallikning, eventuelt på faktorisert eller substituerbar form (f.eks. e^x·(6-e^x)=0 eller en andregradslikning i e^x), og be dem finne alle løsningene."
grenseverdi-begrep,begrep,Grenseverdier og kontinuitet,Grenseverdi,"Eleven vet hva en grenseverdi er (verdien en funksjon nærmer seg når x nærmer seg et gitt tall eller uendelig), og kan lese og bruke lim-notasjonen.",,del1,
bestemme-grenseverdi-innsetting,ferdighet,Grenseverdier og kontinuitet,Bestemme en grenseverdi ved direkte innsetting,"Eleven kan bestemme grenseverdien til en funksjon i et punkt ved å sette inn x-verdien direkte, når funksjonen er definert og kontinuerlig der.",grenseverdi-begrep,del1,"Gi eleven en funksjon og et punkt der funksjonen er definert, og be dem bestemme grenseverdien ved direkte innsetting."
bestemme-grenseverdi-faktorisering,ferdighet,Grenseverdier og kontinuitet,Bestemme en grenseverdi på 0/0-form ved faktorisering,"Eleven kan gjenkjenne at en grenseverdi gir 0/0 ved direkte innsetting, faktorisere teller og nevner, forkorte den felles faktoren, og deretter bestemme grenseverdien.",bestemme-grenseverdi-innsetting;rasjonal-funksjon-begrep,del1,"Gi eleven en rasjonal funksjon som gir 0/0 ved innsetting i et gitt punkt, og be dem faktorisere teller og nevner og bestemme grenseverdien."
bestemme-parameter-for-grenseverdi-eksisterer,ferdighet,Grenseverdier og kontinuitet,Bestemme en parameter slik at en grenseverdi eksisterer,"Eleven kan bestemme en ukjent parameter i telleren til en rasjonal funksjon slik at en gitt grenseverdi (som ellers ville vært udefinert) faktisk eksisterer, og deretter regne ut grenseverdien.",bestemme-grenseverdi-faktorisering,del1,"Gi eleven en rasjonal funksjon med en ukjent parameter i telleren og et punkt der nevneren er null, og be dem bestemme parameteren slik at grenseverdien eksisterer, og deretter regne ut grenseverdien."
grenseverdi-mot-uendelig,ferdighet,Grenseverdier og kontinuitet,Bestemme grenseverdien til en funksjon når x går mot uendelig,"Eleven kan bestemme grenseverdien til en rasjonal funksjon når x går mot uendelig, ved å sammenligne gradene til teller og nevner eller dividere med høyeste potens av x.",grenseverdi-begrep;rasjonal-funksjon-begrep,del1,Gi eleven en rasjonal funksjon og be dem bestemme grenseverdien når x går mot uendelig (eller minus uendelig).
kontinuitet-begrep,begrep,Grenseverdier og kontinuitet,Kontinuitet i et punkt,"Eleven vet at en funksjon er kontinuerlig i et punkt dersom funksjonen er definert der, grenseverdien eksisterer der, og grenseverdien er lik funksjonsverdien.",grenseverdi-begrep,del1,
avgjore-kontinuitet-i-punkt,ferdighet,Grenseverdier og kontinuitet,Avgjøre om en (eventuelt delt) funksjon er kontinuerlig i et punkt,"Eleven kan undersøke om en funksjon, spesielt en funksjon med delt forskrift, er kontinuerlig i et gitt punkt ved å sammenligne grenseverdien fra venstre og høyre med funksjonsverdien.",kontinuitet-begrep;bestemme-grenseverdi-innsetting,begge,"Gi eleven en funksjon med delt forskrift og et punkt der forskriften skifter, og be dem avgjøre om funksjonen er kontinuerlig der, med begrunnelse. Be eleven også vurdere hvorfor en praktisk delt modell (f.eks. en pris- eller støtteordning) bør settes opp slik at den blir kontinuerlig."
vurdere-pastand-om-asymptoter-kontinuitet,ferdighet,Grenseverdier og kontinuitet,Vurdere en generell påstand om asymptoter og kontinuitet,"Eleven kan vurdere om en generell påstand om en klasse funksjoner (f.eks. «alle rasjonale funksjoner på denne formen har en vertikal asymptote i x=d») er sann, og om nødvendig avkrefte den med et moteksempel der teller og nevner har en felles faktor.",avgjore-kontinuitet-i-punkt;kontinuitet-begrep;asymptote-begrep;rasjonal-funksjon-begrep,del1,"Presenter en generell påstand om en klasse funksjoner (f.eks. om vertikale asymptoter for rasjonale funksjoner på en gitt form) og be eleven avgjøre om påstanden er sann eller usann, med et konkret moteksempel dersom den er usann."
