id,type,emne,navn,beskrivelse,avhenger_av,hjelpemiddel,instruks
potens-begrep,begrep,Tall og tallregning,Potens,"Eleven vet hva en potens er (grunntall og eksponent), og hvordan en potens med naturlig eksponent kan skrives ut som gjentatt multiplikasjon.",,,
regne-med-potenser,ferdighet,Tall og tallregning,Regne ut potenser,"Eleven kan regne ut verdien av potenser med naturlige eksponenter for hånd, og forklare framgangsmåten.",potens-begrep,,"Gi eleven et sett potensuttrykk med naturlige eksponenter (f.eks. 3^4, 2^5, 10^3) og be dem regne ut verdien for hånd, og forklare hva grunntallet og eksponenten betyr i hvert uttrykk."
kvadratrot-begrep,begrep,Tall og tallregning,Kvadratrot,"Eleven vet hva en kvadratrot er: kvadratroten av et tall er det positive tallet som multiplisert med seg selv gir tallet under rottegnet.",potens-begrep,,
regne-med-kvadratrotter,ferdighet,Tall og tallregning,Regne ut og anslå kvadratrøtter,"Eleven kan regne ut kvadratroten av kvadrattall for hånd, og anslå kvadratroten av andre tall ved å finne hvilke to hele tall den ligger mellom.",kvadratrot-begrep,,"Gi eleven noen kvadrattall (f.eks. 49, 121) og be dem finne kvadratroten for hånd. Gi også noen tall som ikke er kvadrattall (f.eks. 40) og be dem anslå kvadratroten ved å si hvilke to hele tall den ligger mellom, og begrunne hvilket av dem den ligger nærmest."
regneregler-kommutativ-assosiativ-distributiv-begrep,begrep,Tall og tallregning,"Kommutativ, assosiativ og distributiv egenskap","Eleven kjenner den kommutative, assosiative og distributive egenskapen ved addisjon og multiplikasjon, og kan gjenkjenne hvilken egenskap som er brukt i et gitt regnestykke.",,,
bruke-regneregler-hoderegning,ferdighet,Tall og tallregning,Bruke smarte strategier til effektiv hoderegning,"Eleven kan gjøre et regnestykke enklere å regne ut ved å bytte om rekkefølgen på tallene, gruppere dem på en annen måte, eller dele et tall opp i mindre deler før man ganger, og kan forklare hvorfor omregningen gir samme svar som det opprinnelige stykket.",,,"Gi eleven regnestykker som blir enklere med en smart strategi (f.eks. 25·17·4, eller 98·6 regnet som (100-2)·6), og be dem regne ut svaret i hodet eller på papir ved å bytte om rekkefølgen, gruppere tallene annerledes, eller dele opp et tall, og forklare hvorfor strategien gir samme svar."
faktor-begrep,begrep,Tall og tallregning,Faktor,"Eleven vet hva en faktor er: et av tallene som multipliseres sammen i et produkt (f.eks. er 2 og 6 faktorer i 2 · 6 = 12), og kan gjenkjenne faktorene i et gitt regnestykke.",,,
primtall-begrep,begrep,Tall og tallregning,Primtall,"Eleven vet hva et primtall er: et helt tall større enn 1 som kun har seg selv og 1 som faktorer, og kan avgjøre om et lite tall er et primtall.",faktor-begrep,,
faktorisering-begrep,begrep,Tall og tallregning,Primtallsfaktorisering,"Eleven vet hva det vil si å primtallsfaktorisere et tall: skrive det som et produkt der alle faktorene er primtall, og at ethvert sammensatt tall kan skrives på nøyaktig én slik måte.",faktor-begrep;primtall-begrep,,
primtallsfaktorisering,ferdighet,Tall og tallregning,Finne primtallsfaktoriseringen til et tall,"Eleven kan finne primtallsfaktoriseringen til et helt tall, f.eks. ved hjelp av et faktortre.",faktorisering-begrep,,"Gi eleven noen sammensatte tall (f.eks. 84, 150, 216) og be dem finne primtallsfaktoriseringen ved å bruke et faktortre eller gjentatt divisjon med primtall."
finne-fellesnevner-med-faktorisering,ferdighet,Tall og tallregning,Bruke faktorisering til å finne fellesnevner og forkorte brøker,"Eleven kan bruke primtallsfaktorisering til å finne minste felles multiplum (fellesnevner) og største felles faktor, og bruke dette til å forkorte brøker.",primtallsfaktorisering,,"Gi eleven to brøker med ulike nevnere (f.eks. 12/18 og 5/8) og be dem finne fellesnevneren ved hjelp av primtallsfaktorisering, og forkorte 12/18 til enklest mulig form ved å faktorisere teller og nevner."
brokregning-med-faktorisering,ferdighet,Tall og tallregning,Regne med brøk ved hjelp av faktorisering,"Eleven kan addere, subtrahere, multiplisere og dividere brøker ved å bruke faktorisering til å finne fellesnevner og forkorte underveis og i svaret.",finne-fellesnevner-med-faktorisering,,"Gi eleven et regnestykke med to eller tre brøker og et av regneartene (f.eks. 5/6 + 7/9, eller 3/4 · 8/15), og be dem løse det for hånd ved å bruke faktorisering til fellesnevner eller forkorting, og skrive svaret i enklest mulig form."
tallmonster-begrep,begrep,Algebra og mønstre,Tallmønster og geometrisk mønster,"Eleven vet hva et tallmønster eller et geometrisk mønster er, og at mønsteret kan fortsettes ved å finne regelen bak det.",,,
utforske-og-fortsette-monster,ferdighet,Algebra og mønstre,Utforske og fortsette et mønster,"Eleven kan utforske et gitt geometrisk mønster eller tallmønster, beskrive regelen med egne ord, og finne de neste leddene.",tallmonster-begrep,,"Vis eleven de tre-fire første leddene i et mønster (f.eks. en figur bygd av tellebrikker som vokser, eller en tallfølge som 3, 7, 11, 15) og be dem beskrive mønsteret med egne ord og tegne eller skrive de to neste leddene."
