id,type,emne,navn,beskrivelse,avhenger_av,hjelpemiddel,instruks
prosent-av-tall,ferdighet,Prosent og vekstfaktor,Finne prosentdel av et tall,Eleven kan regne ut hvor mye en gitt prosentandel av et tall utgjør.,,del1,"Gi eleven et tall og en prosentsats, be dem finne prosentdelen. Ingen kontekst eller tolkning kreves, kun regneferdigheten."
prosent-desimal-brok,ferdighet,Prosent og vekstfaktor,"Veksle mellom prosent, desimaltall og brøk","Eleven kan omforme et tall mellom prosentform, desimalform og brøkform.",,del1,"Gi eleven tall i én form (prosent, desimal eller brøk) og be dem omforme til de to andre. Ren mekanisk øvelse."
prosentvis-endring-to-tall,ferdighet,Prosent og vekstfaktor,Finne prosentvis endring mellom to tall,"Eleven kan regne ut hvor mange prosent en verdi har økt eller blitt redusert med, gitt den opprinnelige og den nye verdien direkte (uten at vekstfaktor er oppgitt).",prosent-desimal-brok,del1,"Gi eleven en opprinnelig og en ny verdi (f.eks. gammel og ny pris) og be dem finne den prosentvise endringen. Ren regneferdighet, ett tallsvar."
vekstfaktor-fra-prosent,ferdighet,Prosent og vekstfaktor,Finne vekstfaktor fra prosentvis endring,"Eleven kan regne ut vekstfaktoren gitt en prosentvis økning eller reduksjon, og omvendt finne prosentvis endring fra en gitt vekstfaktor.",prosentvis-endring-to-tall,del1,"Gi eleven en prosentvis endring og be dem finne vekstfaktoren, eller omvendt: gitt en vekstfaktor, finn prosentvis endring. Begge retninger bør trenes."
sammensatt-endring,ferdighet,Prosent og vekstfaktor,Regne ut resultat av flere prosentvise endringer på rad,"Eleven kan multiplisere flere vekstfaktorer sammen for å finne total endring, og forklare hvorfor rekkefølgen og størrelsen på endringene ikke opphever hverandre symmetrisk.",vekstfaktor-fra-prosent,del1,"Gi eleven to eller flere påfølgende prosentvise endringer (f.eks. ned 20 % så opp 20 %) og be dem finne total endring, samt begrunne om resultatet er høyere, lavere eller likt utgangspunktet."
tolke-produkt-av-vekstfaktorer,ferdighet,Prosent og vekstfaktor,Tolke et uttrykk med flere vekstfaktorer,Eleven kan lese et matematisk uttrykk bestående av flere vekstfaktorer (eventuelt med eksponenter) og forklare i ord hvilken prisutvikling eller endring uttrykket beskriver.,vekstfaktor-fra-prosent,del1,"Gi eleven et uttrykk som f.eks. 1,05 · 0,85^2 og be dem forklare i ord hvilke prosentvise endringer uttrykket representerer, i riktig rekkefølge."
pris-fra-indeks,ferdighet,Prosent og vekstfaktor,Beregne pris i et år ut fra prisindeks,Eleven kan regne ut prisen på en vare i et gitt år når prisen i basisåret og indeksverdien er kjent.,vekstfaktor-fra-prosent;prisindeks-begrep,del1,"Gi eleven pris i basisår og indeksverdi for et annet år, be dem finne prisen i det andre året. Rent regneoppgave, ett tallsvar."
kpi-kjopekraft,ferdighet,Prosent og vekstfaktor,Regne om mellom nominell lønn og reallønn ved hjelp av KPI,Eleven kan bruke konsumprisindeksen (KPI) for to ulike år til å regne ut hvilken nominell eller reell lønn som gir samme kjøpekraft.,pris-fra-indeks,del1,"Gi eleven KPI for to år og en lønn i det ene året, be dem finne hvilken lønn som gir samme kjøpekraft i det andre året. Krever at eleven først identifiserer riktig fremgangsmåte (indeksregning) og deretter tolker hva 'samme kjøpekraft' betyr."
prisindeks-begrep,begrep,Prosent og vekstfaktor,Prisindeks og basisår,"Eleven vet at en prisindeks sammenligner prisnivået i ulike år med et valgt basisår, og at indeksen alltid er 100 i basisåret.",prosent-desimal-brok,del1,
reversere-kjedet-vekstfaktor,ferdighet,Prosent og vekstfaktor,Reversere et produkt av vekstfaktorer,"Eleven kan tolke et uttrykk der en kjent verdi divideres med et produkt av flere vekstfaktorer, og forklare at dette gir verdien før de tilhørende prosentvise endringene fant sted.",tolke-produkt-av-vekstfaktorer,del1,"Gi eleven et uttrykk der en kjent sluttverdi divideres med et produkt av to eller flere vekstfaktorer, og be dem forklare i ord hvilke prisendringer uttrykket reverserer, og hva resultatet av utregningen representerer."
lengdeenheter-omgjoring,ferdighet,Geometri,Gjøre om mellom lengdeenheter,"Eleven kan gjøre om mellom lengdeenheter som mm, cm, m og km.",,del1,"Gi eleven en lengde oppgitt i én enhet (mm, cm, m eller km) og be dem regne den om til en annen, oppgitt enhet. Ren omregningsferdighet, ingen kontekst nødvendig."
malestokk-begrep,begrep,Geometri,Målestokk,"Eleven vet at målestokken til en tegning er forholdet mellom en lengde på tegningen og den tilsvarende lengden i virkeligheten, uttrykt med samme enhet på begge sider.",lengdeenheter-omgjoring,del1,
bestemme-malestokk,ferdighet,Geometri,Bestemme målestokken til en tegning,Eleven kan bestemme målestokken til en tegning gitt en lengde på tegningen og den tilsvarende lengden i virkeligheten.,malestokk-begrep,del1,"Gi eleven en lengde på en tegning og den tilsvarende virkelige lengden (i ulike enheter), og be dem bestemme målestokken på formen 1:n eller n:1."
bruke-malestokk-til-lengde,ferdighet,Geometri,Bruke målestokk til å regne ut en lengde,"Eleven kan bruke en oppgitt målestokk sammen med én kjent lengde (på tegningen/modellen eller i virkeligheten) til å regne ut den tilsvarende, ukjente lengden.",malestokk-begrep,del1,"Gi eleven en målestokk (f.eks. 1:1100) og én kjent lengde (i virkeligheten eller på en modell/tegning), og be dem regne ut den tilsvarende ukjente lengden."
datasett-begrep,begrep,Statistikk,Datasett og observasjoner,"Eleven vet hva et datasett er, kan skille mellom enkeltobservasjoner og hele datasettet, og kan sortere data i stigende eller synkende rekkefølge.",,begge,
median-datasett,ferdighet,Statistikk,Finne medianen i et datasett,"Eleven kan sortere et datasett og bestemme medianen, både når antall observasjoner er oddetall og partall.",datasett-begrep,begge,Gi eleven et usortert datasett (gjerne med et oddetall og et partall antall verdier i to ulike oppgaver) og be dem bestemme medianen. Krev at de viser sorteringen.
gjennomsnitt-datasett,ferdighet,Statistikk,Regne ut gjennomsnittet av et datasett,Eleven kan regne ut gjennomsnittet (den aritmetiske middelverdien) av et datasett.,datasett-begrep,begge,Gi eleven et datasett og be dem regne ut gjennomsnittet for hånd (summere og dele på antall).
variasjonsbredde,ferdighet,Statistikk,Bestemme variasjonsbredden,Eleven kan bestemme variasjonsbredden til et datasett som differansen mellom største og minste verdi.,datasett-begrep,del1,Gi eleven et datasett og be dem finne variasjonsbredden.
typetall-modus,ferdighet,Statistikk,Bestemme typetallet (modus),"Eleven kan bestemme typetallet (den hyppigst forekommende verdien) i et datasett, og vite at et datasett kan ha flere typetall eller ingen.",datasett-begrep,del1,Gi eleven et datasett og be dem finne typetallet. Inkluder gjerne et eksempel med to like hyppige verdier.
frekvens-begrep,begrep,Statistikk,Frekvens og relativ frekvens,"Eleven vet at frekvens er antall ganger en verdi forekommer i et datasett, og at relativ frekvens er frekvensen uttrykt som andel (prosent) av totalt antall observasjoner.",datasett-begrep,begge,
relativ-frekvens,ferdighet,Statistikk,Bestemme relativ frekvens,"Eleven kan bestemme den relative frekvensen for en gitt verdi i et datasett, uttrykke den som prosent, og gi en praktisk tolkning av svaret i konteksten oppgaven beskriver.",frekvens-begrep;prosent-desimal-brok,del1,"Gi eleven et konkret datasett fra en praktisk kontekst og be dem bestemme relativ frekvens for én oppgitt verdi, og deretter forklare i egne ord hva svaret betyr i konteksten."
lese-frekvenstabell,ferdighet,Statistikk,Lese og bruke en frekvenstabell,"Eleven kan lese av en frekvenstabell, summere frekvenser, og bruke sammenhengen mellom totalt antall observasjoner og enkeltfrekvensene til å bestemme eller kontrollere en manglende eller påstått frekvens.",frekvens-begrep,del1,"Gi eleven en frekvenstabell der én frekvens mangler eller er ukjent, sammen med totalt antall observasjoner, og be dem bestemme den manglende frekvensen eller vurdere om en påstand om den stemmer."
sentralmal-fra-frekvenstabell,ferdighet,Statistikk,Bestemme gjennomsnitt og median fra en frekvenstabell,"Eleven kan bestemme gjennomsnittet og medianen for et datasett gitt som en frekvenstabell, ved å vekte hver verdi med sin frekvens.",lese-frekvenstabell;gjennomsnitt-datasett;median-datasett,del1,"Gi eleven en frekvenstabell (verdi og antall) og be dem bestemme gjennomsnittet og medianen for hele datasettet, med utregningen vist."
kumulativ-frekvens-begrep,begrep,Statistikk,Kumulativ frekvens,"Eleven vet at kumulativ frekvens for en verdi er summen av frekvensene til og med den verdien (eventuelt uttrykt i prosent), og at den kan brukes til å svare på spørsmål av typen «hvor mange/hvor stor andel er høyst eller lavest enn X».",frekvens-begrep,begge,
klassedelt-datasett-begrep,begrep,Statistikk,Klassedelte (grupperte) data,"Eleven vet hva et klassedelt datasett er, kan lese av frekvenstabeller med klasseintervaller, og vet at enkeltobservasjoner går tapt når data grupperes i klasser.",datasett-begrep;frekvens-begrep,del1,
tolke-kumulativ-frekvensdiagram,ferdighet,Statistikk,Tolke et kumulativt frekvensdiagram,Eleven kan lese av og forklare hva koordinatene til et gitt punkt på et kumulativt frekvensdiagram (sumkurve) forteller om det underliggende datamaterialet.,kumulativ-frekvens-begrep;klassedelt-datasett-begrep,del1,"Vis eleven et kumulativt frekvensdiagram med et markert punkt, og be dem forklare med egne ord hva koordinatene til punktet forteller om datamaterialet (f.eks. hvor stor andel som er under en gitt verdi)."
