"id","type","emne","navn","beskrivelse","avhenger_av","hjelpemiddel","instruks"
"fag-modell-og-naturlov","begrep","Fysikk som fag","Modeller og naturlover","Eleven forstår hva en naturvitenskapelig modell er, hva gyldighetsområdet til en modell betyr, og hva som skal til for at en observasjon kan falsifisere en modell eller for at en modell kan kalles en naturlov.","","",""
"fag-hypotese-teori","begrep","Fysikk som fag","Hypotese, teori og naturlov","Eleven kan skille mellom en hypotese, en vitenskapelig teori og en naturlov, og forklare hva som skal til for å gå fra det ene til det andre, eller for å forkaste en hypotese.","fag-modell-og-naturlov","",""
"fag-vurdere-vitenskapelig-pastand","ferdighet","Fysikk som fag","Vurdere om en påstand er vitenskapelig","Eleven kan avgjøre om en påstand er vitenskapelig testbar og falsifiserbar, foreslå hvordan den kan undersøkes, og formulere egne vitenskapelige hypoteser om et gitt fenomen.","fag-modell-og-naturlov;fag-hypotese-teori","","Legg gjerne fram en blanding av åpenbart uvitenskapelige, åpenbart vitenskapelige og grensetilfelle-påstander (f.eks. fra hverdagen, pseudovitenskap eller science fiction), og be eleven begrunne vurderingen i hvert enkelt tilfelle."
"fag-si-enheter","begrep","Fysikk som fag","SI-enheter og størrelser","Eleven kan forklare at en målt størrelse består av måltall og enhet, og kjenner igjen og kan bruke de grunnleggende SI-enhetene og vanlige SI-prefikser.","","",""
"fag-gjeldende-siffer","begrep","Fysikk som fag","Gjeldende siffer","Eleven forstår hva gjeldende siffer er, og kjenner reglene for hvor mange gjeldende siffer og desimaler et svar skal ha ved multiplikasjon/divisjon og addisjon/subtraksjon av målte størrelser.","fag-si-enheter","",""
"fag-regne-gjeldende-siffer","ferdighet","Fysikk som fag","Regne med gjeldende siffer","Eleven kan telle gjeldende siffer og desimaler i et oppgitt måltall, runde svar av riktig etter regneoperasjoner med målte størrelser, og regne om mellom SI-prefikser med riktig presisjon.","fag-gjeldende-siffer","","Varier mellom rene avrundingsoppgaver og oppgaver der eleven selv må regne ut et uttrykk med målte størrelser og oppgi svaret med korrekt antall gjeldende siffer."
"fag-usikkerhet-avvik","begrep","Fysikk som fag","Usikkerhet og avvik","Eleven forstår hvordan avvik beregnes fra en måleserie, hvordan et måleresultat oppgis som gjennomsnitt ± avvik, og hva det vil si at to målinger er kompatible.","fag-si-enheter","",""
"fag-oppgi-resultat-med-usikkerhet","ferdighet","Fysikk som fag","Oppgi måleresultat med usikkerhet","Eleven kan beregne avvik fra en måleserie, oppgi resultatet med usikkerhet, og avgjøre om to eller flere målinger av samme størrelse er kompatible med hverandre.","fag-usikkerhet-avvik","",""
"fag-reproduserbarhet-forsoksdesign","begrep","Fysikk som fag","Reproduserbarhet og forsøksdesign","Eleven forstår hvorfor vitenskapelige forsøk må være reproduserbare, og hva som kjennetegner en god avgrensning og et godt design av en måling eller et forsøk.","fag-usikkerhet-avvik","",""
"fag-planlegge-forsok","ferdighet","Fysikk som fag","Planlegge og gjennomføre et forsøk","Eleven kan planlegge hvordan en gitt størrelse skal måles, velge egnet utstyr og metode, vurdere forventet usikkerhet, og beskrive hvordan forsøket kan avgrenses.","fag-reproduserbarhet-forsoksdesign;fag-usikkerhet-avvik","","Be gjerne eleven planlegge et konkret forsøk fra bunnen av, og still oppfølgingsspørsmål om hvordan valgene ville påvirket usikkerheten."
