id,type,emne,navn,beskrivelse,avhenger_av,hjelpemiddel,instruks
usikkerhet-begrep,begrep,Fysikk som fag,Absolutt og relativ usikkerhet,"Eleven vet hva absolutt og relativ (prosentvis) usikkerhet i en målt størrelse er, og hvordan de to henger sammen.",,del1,
beregne-usikkerhet-fra-malinger,ferdighet,Fysikk som fag,Beregne gjennomsnitt og usikkerhet fra flere målinger,"Eleven kan beregne gjennomsnittsverdien og den absolutte usikkerheten Δx = (xmaks − xmin)/2 fra et sett med gjentatte målinger av samme størrelse.",usikkerhet-begrep,del1,"Gi eleven et lite sett med gjentatte måleverdier for samme størrelse, og be dem regne ut gjennomsnittet og den absolutte usikkerheten."
usikkerhet-sammensatte-storrelser,ferdighet,Fysikk som fag,Regne ut usikkerhet i en sammensatt størrelse,"Eleven kan bruke reglene for usikkerhet ved sum/differanse (Δ(x±y)=Δx+Δy) og ved produkt/kvotient/potens (relativ usikkerhet) til å regne ut den relative usikkerheten i en størrelse som er satt sammen av flere målte størrelser med kjent usikkerhet, gitt en formel.",beregne-usikkerhet-fra-malinger,del1,"Gi eleven en fysisk formel (f.eks. for tyngdeakselerasjon, planetmasse eller feltstyrke) som er et produkt/kvotient av flere størrelser opphøyd i ulike potenser, samt den relative usikkerheten i hver enkeltstørrelse, og be dem bestemme den relative usikkerheten i den beregnede størrelsen. Dette er en svært vanlig flervalgsoppgave-type på eksamen (typisk oppgave 1a) - tren gjerne på flere ulike formler."
planlegge-og-forbedre-forsok,ferdighet,Fysikk som fag,Planlegge og videreutvikle et forsøk,"Eleven kan planlegge et forsøk for å måle en fysisk størrelse, identifisere de viktigste kildene til usikkerhet i forsøksoppsettet, og foreslå konkrete endringer som ville redusert usikkerheten.",usikkerhet-sammensatte-storrelser,del2,"Beskriv et fysisk forsøk (gjerne fra mekanikk, elektrisitet eller magnetisme) og be eleven identifisere de viktigste kildene til usikkerhet i oppsettet, og foreslå minst én konkret forbedring som ville gitt mer pålitelige data."
vurdere-gyldighet-av-modell-mot-data,ferdighet,Fysikk som fag,Vurdere om måledata stemmer med en teoretisk modell,"Eleven kan sammenligne måledata (inkludert usikkerhetsintervallet) med en teoretisk beregnet verdi eller modell, og konkludere med begrunnelse om dataene støtter modellen eller ikke - inkludert å foreslå en fysisk forklaring dersom de ikke gjør det.",usikkerhet-sammensatte-storrelser,del2,"Gi eleven en tabell med målte verdier (inkludert usikkerhet) og en teoretisk modell eller formel de skal sammenlignes med (f.eks. en transformatorlikning, en teoretisk kastelengde uten luftmotstand, eller en kraftlov), og be dem vurdere om dataene er i tråd med modellen, med fysisk begrunnelse dersom de ikke er det."
tolke-graf-fra-forsok,ferdighet,Fysikk som fag,Tolke en graf fra et forsøk eller en datalogger,"Eleven kan lese av og tolke en graf fra et forsøk (f.eks. kraft, spenning, strøm eller posisjon som funksjon av tid), koble bestemte tidspunkt eller intervaller på grafen til hva som fysisk skjer, og bruke grafen til å bestemme størrelser som stigningstall eller areal under grafen.",usikkerhet-begrep,del2,"Vis eleven en graf fra et forsøk (f.eks. kraft mot tid, spenning mot tid, eller posisjon mot tid) og be dem forklare hva som fysisk skjer ved bestemte tidspunkt eller i bestemte intervaller på grafen, og eventuelt bruke grafen til å regne ut en størrelse."
internasjonalt-forskningssamarbeid,ferdighet,Fysikk som fag,Presentere ny viten fra internasjonalt forskningssamarbeid,"Eleven kan presentere sentrale elementer i ny viten i fysikk som er et resultat av internasjonalt forskningssamarbeid (f.eks. gravitasjonsbølgedeteksjon, partikkelfysikk ved CERN, eller romteleskoper), og vurdere hvordan slikt samarbeid bidrar i kunnskapsutviklingen.",,begge,"Be eleven velge et eksempel på en fysisk oppdagelse som er et resultat av internasjonalt forskningssamarbeid (f.eks. LIGO/gravitasjonsbølger, CERN/Higgs-bosonet, eller et romteleskop), og forklare kort hva som ble oppdaget og hvorfor internasjonalt samarbeid var nødvendig eller nyttig for å få det til. Dette er ikke en regneferdighet - vurder resonnement og oversikt, ikke detaljkunnskap."
python-grunnleggende-syntaks,begrep,Programmering og numeriske metoder,"Grunnleggende Python-syntaks (variabler, løkker, if-tester)","Eleven kjenner grunnleggende Python-syntaks som brukes på eksamen: å definere variabler, while- og for-løkker, if/elif/else-tester og enkle innebygde funksjoner (jf. programmeringsvedlegget).",,del1,
lese-og-forklare-pythonkode,ferdighet,Programmering og numeriske metoder,Lese og forklare et gitt Python-program,"Eleven kan lese et Python-program uten å kjøre det, og forklare i ord hva et gitt kodeavsnitt eller hele programmet regner ut eller er ment å finne ut.",python-grunnleggende-syntaks,del1,"Vis eleven et kort Python-program (uten å kjøre det) og be dem forklare hva en eller flere navngitte linjer gjør, samt hva programmet som helhet beregner."
fullfore-ufullstendig-kode,ferdighet,Programmering og numeriske metoder,Fylle inn manglende linjer i et ufullstendig program ut fra en fysisk formel,"Eleven kan bestemme hva som skal stå på én eller flere manglende linjer i et Python-program, ut fra en oppgitt fysisk sammenheng eller formel som resten av programmet skal bruke.",lese-og-forklare-pythonkode,del1,"Vis eleven et Python-program med én eller to manglende linjer markert, sammen med den fysiske situasjonen og formelen(e) programmet skal modellere, og be dem bestemme (gjerne som et flervalgsspørsmål med fire alternativer) hva som skal stå på de manglende linjene."
eulers-metode-begrep,begrep,Programmering og numeriske metoder,Eulers metode for numerisk simulering av bevegelse,"Eleven vet at bevegelse med varierende akselerasjon kan simuleres numerisk ved å oppdatere fart og posisjon i små tidssteg dt (v = v + a·dt, s = s + v·dt) i en løkke, og at akselerasjonen i hvert steg kan avhenge av gjeldende posisjon, fart eller tid.",fullfore-ufullstendig-kode,del1,
simulere-bevegelse-med-eulers-metode,ferdighet,Programmering og numeriske metoder,Sette opp en fullstendig numerisk simulering av bevegelse,"Eleven kan sette opp eller fullføre et Python-program som simulerer bevegelsen til et objekt der akselerasjonen ikke er konstant (f.eks. på grunn av luftmotstand, et inhomogent gravitasjonsfelt, eller en kraft som avhenger av fart eller posisjon), ved å bruke Eulers metode i en løkke.",eulers-metode-begrep,del2,"Gi eleven en fysisk situasjon der akselerasjonen ikke er konstant (f.eks. en rakett med minkende masse i et gravitasjonsfelt, en kloss med luftmotstand, eller en ladning i et elektrisk felt), og be dem sette opp eller fullføre et Python-program som simulerer bevegelsen med Eulers metode, med riktig tidssteg og oppdateringsrekkefølge."
