id,type,emne,navn,beskrivelse,avhenger_av,hjelpemiddel,instruks
variabel-og-uttrykk-begrep,begrep,Algebra: likninger og ulikheter,Variabel og algebraisk uttrykk,"Eleven vet hva en variabel og et algebraisk uttrykk er, og kan forenkle uttrykk ved å trekke sammen like ledd og bruke parentesregler.",,del1,
koeffisient-begrep,begrep,Algebra: likninger og ulikheter,Koeffisient,"Eleven vet at en koeffisient er det konstante tallet som multipliserer en variabel eller en potens av en variabel i et algebraisk uttrykk.",,del1,
fortegnsskjema-begrep,begrep,Algebra: likninger og ulikheter,Fortegnsskjema,"Eleven vet at et fortegnsskjema er en tabell som viser hvor et uttrykk skifter fortegn over et intervall, og at det brukes til å avgjøre vekst/avtakelse eller til å løse ulikheter.",,del1,
linear-likning-en-ukjent,ferdighet,Algebra: likninger og ulikheter,Løse en lineær likning med én ukjent,Eleven kan løse en lineær likning med én ukjent for hånd.,variabel-og-uttrykk-begrep,del1,"Gi eleven en lineær likning med én ukjent (gjerne med parenteser eller ledd på begge sider) og be dem løse den for hånd, uten kalkulator."
funksjonsbegrep-generelt,begrep,Algebra: likninger og ulikheter,Funksjon,"Eleven forstår en funksjon som en sammenheng der hver x-verdi gir nøyaktig én y-verdi, og kan lese av funksjonsverdier f(x) fra en formel, en tabell eller en graf.",variabel-og-uttrykk-begrep,begge,
identitet-begrep,begrep,Algebra: likninger og ulikheter,Identitet,"Eleven vet at en identitet er en likning som er sann for alle verdier av variabelen, i motsetning til en vanlig likning som bare er sann for bestemte verdier.",linear-likning-en-ukjent,del1,
skille-identitet-likning-uttrykk-funksjon,ferdighet,Algebra: likninger og ulikheter,"Forklare forskjellen mellom identitet, likning, uttrykk og funksjon","Eleven kan forklare forskjellen mellom en identitet, en likning, et algebraisk uttrykk og en funksjon, og gi eksempler på hver.",identitet-begrep;funksjonsbegrep-generelt,del1,"Gi eleven fire matematiske objekter bygget rundt de samme symbolene (f.eks. x²+4x) - ett uttrykk, én likning, én identitet og én funksjon - og be dem klassifisere hvert av dem og begrunne forskjellen."
kvadratsetningene-begrep,begrep,Algebra: likninger og ulikheter,Kvadratsetningene,"Eleven kjenner de tre kvadratsetningene ((a+b)², (a-b)² og (a+b)(a-b)) og vet hvordan de kan brukes til både å utvide og å faktorisere uttrykk.",variabel-og-uttrykk-begrep,del1,
bruke-kvadratsetninger,ferdighet,Algebra: likninger og ulikheter,Bruke kvadratsetningene til å utvide og faktorisere,"Eleven kan bruke kvadratsetningene til å utvide et uttrykk på faktorisert form, og til å faktorisere et uttrykk som passer et av mønstrene.",kvadratsetningene-begrep,del1,"Gi eleven et blandet sett med uttrykk - noen på faktorisert form som skal utvides, noen på utvidet form som skal faktoriseres med en kvadratsetning - og be dem løse alle for hånd."
bestemme-koeffisienter-identitet,ferdighet,Algebra: likninger og ulikheter,Bestemme koeffisienter slik at en likning blir en identitet,"Eleven kan bestemme ukjente konstanter i et uttrykk slik at en gitt likning blir en identitet, ofte ved å sammenligne med en kjent kvadratsetning.",bruke-kvadratsetninger;skille-identitet-likning-uttrykk-funksjon;koeffisient-begrep,del1,"Gi eleven en likning på formen a(x+b)²=x²+8x+c (eller lignende) med tre ukjente konstanter, og be dem bestemme alle tre slik at likningen blir en identitet, med begrunnelse."
nullproduktsetningen-begrep,begrep,Algebra: likninger og ulikheter,Nullproduktsetningen,Eleven vet at et produkt av to eller flere faktorer er null hvis og bare hvis minst én av faktorene er null.,variabel-og-uttrykk-begrep,del1,
lose-faktorisert-likning,ferdighet,Algebra: likninger og ulikheter,Løse en faktorisert likning med nullproduktsetningen,Eleven kan løse en likning gitt på faktorisert form ved å bruke nullproduktsetningen.,nullproduktsetningen-begrep;linear-likning-en-ukjent,del1,"Gi eleven en likning på formen (uttrykk)·(uttrykk)=0, der hver faktor er et førstegradsuttrykk, og be dem finne alle løsningene."
faktorisere-andregradsuttrykk,ferdighet,Algebra: likninger og ulikheter,Faktorisere et andregradsuttrykk,"Eleven kan faktorisere et andregradsuttrykk, blant annet ved å trekke ut en fellesfaktor, bruke en kvadratsetning, eller finne nullpunktene og skrive uttrykket på formen a(x-x1)(x-x2).",bruke-kvadratsetninger,del1,"Gi eleven et sett andregradsuttrykk (noen med fellesfaktor, noen som passer en kvadratsetning, noen som krever å finne nullpunktene) og be dem faktorisere hvert for hånd."
andregradslikning-lose,ferdighet,Algebra: likninger og ulikheter,Løse en andregradslikning,"Eleven kan løse en andregradslikning ved faktorisering eller ved abc-formelen, og velge en hensiktsmessig metode.",faktorisere-andregradsuttrykk;lose-faktorisert-likning,del1,"Gi eleven flere andregradslikninger - noen som lett lar seg faktorisere, noen som krever abc-formelen - og be dem løse hver av dem med en hensiktsmessig metode."
