id,type,emne,navn,beskrivelse,avhenger_av,hjelpemiddel,instruks
kf-fagsprak,begrep,Kjemi som fag,"Kjemisk fagspråk og notasjon","Eleven kjenner igjen og forstår kjemisk fagspråk og notasjon - kjemiske formler, navnsetting av forbindelser, symboler for tilstandsformer (s, l, g, aq) og reaksjonspiler - som brukes til å kommunisere presist om stoffer og reaksjoner.",,del1,
kf-bruke-fagsprak,ferdighet,Kjemi som fag,"Bruke kjemisk fagspråk i faglig kommunikasjon","Eleven kan bruke kjemisk fagspråk og fagbegreper presist når hen forklarer, begrunner eller presenterer kjemifaglig innhold, i stedet for upresist eller hverdagslig språk.",kf-fagsprak,begge,"Gi eleven en kort kjemifaglig påstand eller forklaring skrevet med upresist/hverdagslig språk, og be dem omformulere den med presist kjemisk fagspråk, eller be dem forklare en kjemisk situasjon fra pensum med riktig fagterminologi."
kf-risikovurdering,begrep,Kjemi som fag,"Faresymboler og risikovurdering","Eleven kjenner de vanligste faresymbolene (piktogrammene) og H- og P-setninger, og vet hva en risikovurdering av et forsøk innebærer.",,del1,
kf-planlegge-forsok,ferdighet,Kjemi som fag,"Planlegge et forsøk og foreslå risikoreduserende tiltak","Eleven kan planlegge gjennomføringen av et forsøk for å undersøke en gitt kjemifaglig problemstilling, identifisere de viktigste risikoene ved forsøket, og foreslå konkrete tiltak for å redusere risikoen.",kf-risikovurdering,del2,"Gi eleven en kjemifaglig problemstilling (f.eks. å bestemme konsentrasjonen til en løsning, eller syntetisere et stoff), og be dem skissere en forsøksprosedyre samt identifisere de viktigste risikoene og hvordan disse kan reduseres."
kf-usikkerhet-feilkilder,begrep,Kjemi som fag,"Usikkerhet og feilkilder","Eleven vet forskjellen på en tilfeldig feilkilde (som gir spredning i gjentatte målinger) og en systematisk feilkilde (som gir et konsekvent avvik i én retning), og hva usikkerhet i en måling betyr.",,del1,
kf-vurdere-usikkerhet,ferdighet,Kjemi som fag,"Vurdere usikkerhet og feilkilder i et forsøk","Eleven kan identifisere de viktigste feilkildene i et beskrevet forsøk, vurdere om de er tilfeldige eller systematiske, og vurdere hvordan de kan ha påvirket resultatet.",kf-usikkerhet-feilkilder,del2,"Beskriv et kjemiforsøk (gjerne fra egne eller andres data) med et resultat som avviker noe fra forventet verdi, og be eleven identifisere mulige feilkilder og vurdere om de er tilfeldige eller systematiske, samt hvordan de kan ha påvirket resultatet."
kf-modell-teori-begrep,begrep,Kjemi som fag,"Naturvitenskapelig modell og teori","Eleven vet at en naturvitenskapelig modell er en forenklet representasjon som brukes til å forklare og forutsi fenomener, og at en teori er en godt underbygget forklaring støttet av mye empirisk bevis - og at begge kan revideres i lys av nye data.",,del1,
kf-modellutvikling,ferdighet,Kjemi som fag,"Gjøre rede for hvordan modeller og teorier utvikles","Eleven kan gjøre rede for hvordan en kjemisk modell eller teori (f.eks. atommodeller eller synet på syrer og baser) er blitt utviklet og endret over tid etter hvert som nye data eller observasjoner er kommet til.",kf-modell-teori-begrep,del2,"Be eleven velge et eksempel på en kjemisk modell eller teori som har endret seg over tid (f.eks. atommodeller eller synet på syrer/baser), og gjøre rede for hvilke observasjoner eller data som førte til endringen."
kf-forskningssamarbeid,ferdighet,Kjemi som fag,"Reflektere over samarbeidets rolle i kunnskapsutvikling","Eleven kan reflektere over hvordan samarbeid mellom forskere - eventuelt på tvers av land eller fagfelt - bidrar til at kjemisk kunnskap utvikles og kvalitetssikres.",kf-modell-teori-begrep,del2,"Be eleven reflektere over hvorfor samarbeid mellom forskere (f.eks. fagfellevurdering, internasjonale forskningssamarbeid eller deling av data) er viktig for at ny kjemisk kunnskap skal bli pålitelig og akseptert."
rx-oksidasjonstall,begrep,Redoks og elektrokjemi,"Oksidasjonstall","Eleven vet hva et oksidasjonstall er og kjenner reglene for å bestemme oksidasjonstallet til et atom i et grunnstoff, en ionisk eller kovalent forbindelse, eller et polyatomært ion.",,del1,
